t1,t2,t3,station_id,one_way_doppler,format_id,transmitting_station_id
64000,20799,64000.000020799,43,-1225850879.9999344,1,53
64000,20800,64000.0000208,78,1022689280.0000656,1,45
64000,20801,64000.000020801,90,-656474111.9999344,1,121
64000,20807,64000.000020807,81,1079967744.0000656,1,101
64000,20807,64000.000020807,120,-130351103.99993446,1,29
64000,20809,64000.000020809,123,48824320.000065535,1,79
64000,20812,64000.000020812,98,-2089484287.9999344,1,97
64000,20815,64000.000020815,122,-73465855.99993446,1,107
64000,20816,64000.000020816,92,683081728.0000656,1,21
64000,20816,64000.000020816,89,-820969471.9999344,1,89
64000,20818,64000.000020818,127,1988034560.0000656,1,61
64000,20820,64000.00002082,97,1041694720.0000656,1,67
64000,20824,64000.000020824,96,-2142175231.9999344,1,47
64000,20825,64000.000020825,16,221577216.00006554,1,85
4194304000,1364842075,4194304001.364842,94,1.9436e-05,1,96
4194304000,1364930865,4194304001.3649306,47,3.6117e-05,1,116
64000,20827,64000.000020827,102,1140523008.0,1,112
4194304000,1364960195,4194304001.36496,44,6.961200000000001e-05,1,51
4194304000,1365036329,4194304001.3650365,74,2.3228000000000002e-05,1,117
4194304000,1365051875,4194304001.3650517,91,0.00010881700000000001,1,89
4194304000,1365128165,4194304001.365128,95,5.636000000000001e-06,1,57
4194304000,1365164513,4194304001.3651643,96,0.00011191900000000001,1,35
64000,20832,64000.000020832,89,-1261371392.0,1,6
4194304000,1365337081,4194304001.365337,6,1.7609e-05,1,32
4194304000,1365350365,4194304001.3653502,55,0.000139176,1,10
4194304000,1365359653,4194304001.36536,97,8.7632e-05,1,103
4194304000,1365374289,4194304001.365374,53,0.00018270300000000002,1,71
4194304000,1365396213,4194304001.365396,15,9.541600000000001e-05,1,52
64000,20834,64000.000020834,109,-778371072.0,1,118
4194304000,1365455925,4194304001.365456,81,0.00023922100000000002,1,2
4194304000,1365456357,4194304001.3654566,36,0.000268567,1,98
4194304000,1365468305,4194304001.3654685,52,0.000267724,1,92
4194304000,1365513999,4194304001.365514,58,0.000254246,1,17
4194304000,1365514705,4194304001.3655148,36,0.000279316,1,98
4194304000,1365549895,4194304001.36555,23,0.00027849,1,4
64000,20836,64000.000020836,7,-898957312.0,1,108
64000,20836,64000.000020836,113,-593559552.0,1,70
4194304000,1365566095,4194304001.3655663,73,0.00025556900000000003,1,50
64000,20837,64000.000020837,53,-1461649408.0,1,64
4194304000,1365627921,4194304001.365628,77,0.00015327,1,124
4194304000,1365651865,4194304001.365652,84,0.00015591200000000002,1,9
4194304000,1365670955,4194304001.365671,6,0.000258587,1,32
4194304000,1365688165,4194304001.3656883,74,0.00023296500000000002,1,10
4194304000,1365699819,4194304001.3657,13,0.00026618700000000003,1,113
4194304000,1365794369,4194304001.365794,93,0.000362406,1,29
4194304000,1365875089,4194304001.3658752,21,0.000333051,1,65
4194304000,1365880481,4194304001.3658805,18,0.000341976,1,58
4194304000,1365909665,4194304001.3659096,26,0.000313457,1,11
4194304000,1365915615,4194304001.365916,39,9.565600000000001e-05,1,105
4194304000,1365919323,4194304001.365919,110,0.000232551,1,1
4194304000,1366008805,4194304001.3660088,53,0.00010579900000000001,1,71
4194304000,1366026803,4194304001.366027,23,0.00041379400000000004,1,4
64000,20844,64000.000020844,34,-1618935808.0,1,56
4194304000,1366118685,4194304001.366119,56,0.000311374,1,77
64000,20845,64000.000020845,98,1782251520.0,1,32
4194304000,1366137175,4194304001.366137,82,0.00040996100000000003,1,70
4194304000,1366236829,4194304001.3662367,50,0.00045996800000000005,1,64
4194304000,1366248283,4194304001.366248,61,0.00044456700000000004,1,23
4194304000,1366269029,4194304001.366269,81,0.00031689200000000004,1,2
4194304000,1366293525,4194304001.3662934,6,0.00033505700000000004,1,32
64000,20848,64000.000020848,93,1369374720.0,1,90
4194304000,1366318749,4194304001.3663187,90,0.00047913500000000005,1,22
64000,20848,64000.000020848,118,-1938882560.0,1,20
4194304000,1366381085,4194304001.366381,61,0.000484528,1,23
4194304000,1366400381,4194304001.3664002,61,0.000514668,1,23
4194304000,1366409945,4194304001.36641,25,0.00037126000000000005,1,32
