record_time_tag_int,items_2_3_packed,observable_int,observable_frac,items_6_14_packed,items_15_19_packed,items_20_22_packed
1812104095,b'',-381883,-241708754,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104105,b'',-381874,-25603293,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104115,b'',-381864,-757722854,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104125,b'',-381855,-538410186,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104135,b'',-381846,-313186645,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104145,b'',-381836,-972451209,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104155,b'',-381827,-792084693,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104165,b'',-381818,-633544921,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104175,b'',-381809,-492931365,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104185,b'',-381800,-223123549,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104195,b'',-381791,-82012176,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104205,b'',-381781,-948754310,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104215,b'',-381772,-895350455,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104225,b'',-381763,-782159804,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104235,b'',-381754,-680693625,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104245,b'',-381745,-557907103,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104255,b'',-381736,-474691390,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104265,b'',-381727,-369327544,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104275,b'',-381718,-297252654,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104285,b'',-381709,-191102027,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104295,b'',-381700,-87441443,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104305,b'',-381690,-998938559,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104315,b'',-381681,-996405601,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104325,b'',-381672,-989885329,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104335,b'',-381663,-946236609,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104345,b'',-381654,-935127257,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104573,b'',-164,-481139182,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104583,b'',-161,-778870582,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104593,b'',-159,-71872710,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104603,b'',-156,-356605529,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104613,b'',-153,-629625319,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104623,b'',-150,-895214080,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104633,b'',-148,-149218558,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104643,b'',-145,-400724410,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104653,b'',-142,-639616012,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104663,b'',-139,-867967605,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104673,b'',-137,-91081618,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104683,b'',-134,-296805381,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104693,b'',-131,-496215819,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104703,b'',-128,-686703681,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104713,b'',-125,-870807647,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104723,b'',-123,-43652533,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104733,b'',-120,-206719397,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104743,b'',-117,-354594230,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104753,b'',-114,-496211051,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104763,b'',-111,-632765769,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104773,b'',-108,-758216857,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104783,b'',-105,-873045920,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104793,b'',-102,-979891776,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104803,b'',-100,-78369140,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104813,b'',-97,-165535926,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104814,b'',587993,568119415,b'O\xdf\x92\xd4',b'\x1cvF\x87\x06\xd0Z\x0c',b'\x000a\x86\xa0'
